qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
1,-9,SW,Black Hills Group,CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hi013,05/13/2002,2002,07/01/2000,624752.0,4832100.0,13,NAD27,#NULL!,#NULL!,#NULL!,,3.6,,#NULL!,15,10,#NULL!,,85.0,80.0,#NULL!,#NULL!,15.0,#NULL!,#NULL!,#NULL!,#NULL!,2.5,1.7,1.6,#NULL!,2.0,7.80,4,#NULL!,#NULL!,#NULL!,#NULL!,.5,.0,.0,.50,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,.20,.10,.20,#NULL!,1.0,1.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8.30,1.50,9.80,7,4,11,1.95,.17,#NULL!,.38,#NULL!,1.19,.38,.89,"15% rock, mostly open grass slope, overstory treated as one strata",Highland Creek,hi013
1,-9,SW,Kobza/Rehman,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js003,05/22/2002,2002,08/01/2000,584065.0,4852420.0,13,NAD27,#NULL!,#NULL!,#NULL!,,4.6,se,12.0,15,10,2,,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.9,2.6,2.4,3.0,2.6,13.50,5,#NULL!,#NULL!,#NULL!,#NULL!,1.2,1.5,1.5,4.20,3,#NULL!,#NULL!,3.0,2.8,#NULL!,#NULL!,#NULL!,#NULL!,5.80,2,#NULL!,#NULL!,#NULL!,3.00,.90,2.70,#NULL!,1.5,8.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,.4,2.8,#NULL!,1.0,7.20,4,#NULL!,#NULL!,#NULL!,#NULL!,.0,100.0,23.50,15.30,38.80,10,8,18,2.70,1.40,3.00,2.03,1.80,2.35,1.91,2.16,"SE aspect, 12% slope",Jasper,js003
1,-9,SW,Kobza/Rehman,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js003b,05/26/2002,2002,08/01/2000,584003.0,4852452.0,13,NAD27,#NULL!,#NULL!,#NULL!,,4.5,flat,.0,15,10,2,,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,2.9,3.0,3.0,14.90,5,#NULL!,#NULL!,#NULL!,#NULL!,2.9,.2,3.0,6.10,3,#NULL!,#NULL!,3.0,3.0,#NULL!,#NULL!,#NULL!,#NULL!,6.00,2,#NULL!,#NULL!,#NULL!,3.00,3.00,3.00,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,.0,100.0,27.00,18.00,45.00,10,6,16,2.98,2.03,3.00,3.00,3.00,2.70,3.00,2.81,"Flat, we added new plot, not random but good example of blown out area (200x400 ft), next to a less severe area",Jasper,js003b
1,-9,SW,Ohlen/Klaver,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js005b,05/14/2002,2002,08/01/2000,590774.0,4848549.0,13,NAD27,#NULL!,#NULL!,#NULL!,,4.2,,#NULL!,15,10,#NULL!,,70.0,70.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,.9,.7,2.5,1.0,6.10,5,#NULL!,#NULL!,#NULL!,#NULL!,.8,.5,1.0,2.30,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,2.20,.20,2.00,#NULL!,1.8,6.20,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.2,1.0,2.0,#NULL!,2.2,7.40,4,#NULL!,#NULL!,#NULL!,20.0,.0,.0,8.40,13.60,22.00,8,8,16,1.22,.77,#NULL!,1.55,1.85,1.05,1.70,1.38,Moved plot out of stream bottom,Jasper,js005b
1,-9,SW,Query/Wilcox/Jakobek,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js008,05/22/2002,2002,08/01/2000,593366.0,4849537.0,13,NAD27,#NULL!,#NULL!,#NULL!,,4.7,w,2.0,15,10,2,,85.0,85.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.8,.2,.3,2.5,1.0,4.80,5,#NULL!,#NULL!,#NULL!,#NULL!,1.0,1.2,1.2,3.40,3,#NULL!,#NULL!,1.3,.2,#NULL!,#NULL!,#NULL!,#NULL!,1.50,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.3,.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9.70,.30,10.00,10,4,14,.96,1.13,1.30,#NULL!,.08,.97,.08,.71,"W aspect, 2% slope, logged prior to burn, borderline tree size all rated as big",Jasper,js008
1,-9,SW,Key/Kobza/Jakobek,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js009,05/16/2002,2002,08/01/2000,587657.0,4863636.0,13,NAD27,#NULL!,#NULL!,#NULL!,,3.7,,#NULL!,15,10,4,,70.0,70.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.5,.5,.5,1.5,1.5,4.50,5,#NULL!,#NULL!,#NULL!,#NULL!,1.0,.7,.5,2.20,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,1.50,.00,1.80,#NULL!,.5,3.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,.0,1.0,#NULL!,.6,2.60,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6.70,6.40,13.10,8,8,16,.90,.73,#NULL!,.95,.65,.84,.80,.82,On edge of grassy swale,Jasper,js009
1,-9,SW,Wilcox/Kobza/Key/Z,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js012,05/14/2002,2002,08/01/2000,591683.0,4842938.0,13,NAD27,#NULL!,#NULL!,#NULL!,,3.3,sw,15.0,15,10,3,,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,2.8,3.0,2.8,14.60,5,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.5,1.5,6.30,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,3.00,1.00,2.90,#NULL!,2.5,9.40,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,5.0,100.0,20.90,9.40,30.30,8,4,12,2.92,2.10,#NULL!,2.35,#NULL!,2.61,2.35,2.53,"SW moderate slope, few overstory trees logged prior to fire, bare ground due to heavy fuels burning",Jasper,js012
1,-9,SW,Kobza/Rehman,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js014,05/22/2002,2002,08/01/2000,595613.0,4856171.0,13,NAD27,#NULL!,#NULL!,#NULL!,,3.9,s,#NULL!,15,10,2,,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,3.0,3.0,3.0,15.00,5,#NULL!,#NULL!,#NULL!,#NULL!,3.0,.2,1.5,4.70,3,#NULL!,#NULL!,3.0,3.0,#NULL!,#NULL!,#NULL!,#NULL!,6.00,2,#NULL!,#NULL!,#NULL!,3.00,3.00,3.00,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,.0,100.0,25.70,18.00,43.70,10,6,16,3.00,1.57,3.00,3.00,3.00,2.57,3.00,2.73,"S slope, ground juniper almost completely consumed",Jasper,js014
1,-9,SW,Jakobek/Andy/Howard,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js015b,05/15/2002,2002,08/01/2000,595727.0,4849398.0,13,NAD27,#NULL!,#NULL!,#NULL!,,3.9,sw,15.0,15,10,2,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,2.8,2.8,3.0,14.60,5,#NULL!,#NULL!,#NULL!,#NULL!,1.2,1.0,1.0,3.20,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,2.30,1.00,2.00,#NULL!,2.7,8.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,17.80,8.00,25.80,8,4,12,2.92,1.07,#NULL!,2.00,#NULL!,2.23,2.00,2.15,"SW 15% slope, moved 75 m N-NE away from road and edge, previously thinned intermediate stand evenly spaced",Jasper,js015b
1,-9,SW,Kobza/Rehman,CENTRAL,2000.00,NPS_WICA,2000 burns,Jasper,js017,05/22/2002,2002,08/01/2000,582176.0,4851817.0,13,NAD27,#NULL!,#NULL!,#NULL!,,5.1,,#NULL!,15,10,2,,80.0,85.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.8,.8,.7,3.0,2.0,7.30,5,#NULL!,#NULL!,#NULL!,#NULL!,1.4,.4,.4,2.20,3,#NULL!,#NULL!,3.0,2.1,#NULL!,#NULL!,#NULL!,#NULL!,5.10,2,#NULL!,#NULL!,#NULL!,2.20,1.20,2.30,#NULL!,1.1,6.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.2,.0,1.5,#NULL!,.3,3.00,4,#NULL!,#NULL!,#NULL!,#NULL!,.0,70.0,14.60,9.80,24.40,10,8,18,1.46,.73,3.00,1.70,.75,1.46,1.23,1.36,,Jasper,js017
