Value,EVT_Name
2661,Alaskan Pacific Maritime Fen and Wet Meadow
2662,Temperate Pacific Freshwater Emergent Marsh
2663,North Pacific Shrub Swamp
2664,Temperate Pacific Freshwater Aquatic Bed
2665,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee
2666,Alaskan Pacific Maritime Coastal Dune-Beach and Beach Meadow
2667,Alaskan Pacific Maritime Rocky Coastline
2668,Temperate Pacific Tidal Salt and Brackish Marsh
2669,Temperate Pacific Intertidal Flat
2670,North Pacific Maritime Eelgrass Bed
2671,Aleutian American Dunegrass Grassland
2672,Alaskan Pacific Maritime Subalpine Copperbush Shrubland
2673,Alaskan Pacific Maritime Alpine Wet Meadow
2674,Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field
2676,Alaskan Pacific Maritime Alpine Floodplain
2677,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland
2678,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest
2679,Alaska Sub-boreal White Spruce-Hardwood Forest
2680,Alaskan Pacific Maritime Avalanche Slope Shrubland
2681,Alaskan Pacific Maritime Poorly Drained Conifer Woodland
2682,Alaska Arctic Scrub Birch-Ericaceous Shrubland
2683,Alaska Arctic Mesic Sedge-Willow Tundra
2684,Alaska Arctic Mesic Sedge-Dryas Tundra
2685,Alaska Arctic Acidic Sparse Tundra
2686,Alaska Arctic Non-Acidic Sparse Tundra
2687,Alaska Arctic Lichen Tundra
2688,Alaska Arctic Acidic Dryas Dwarf-Shrubland
2689,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland
2690,Alaska Arctic Dwarf-Shrubland
2691,Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra
2692,Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra
2693,Alaska Arctic Shrub-Tussock Tundra
2694,Alaska Arctic Tussock Tundra
2695,Alaska Arctic Tussock-Lichen Tundra
2696,Alaska Arctic Freshwater Aquatic Bed
2697,Alaska Arctic Pendantgrass Freshwater Marsh
2698,Alaska Arctic Wet Sedge Meadow
2699,Alaska Arctic Mesic Herbaceous Meadow
2700,Alaska Arctic Polygonal Ground Mesic Shrub Tundra
2701,Alaska Arctic Coastal Sedge-Dwarf-Shrubland
2702,Alaska Arctic Wet Sedge-Sphagnum Peatland
2703,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland
2704,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra
2705,Alaska Arctic Sedge Freshwater Marsh
2706,Alaska Arctic Polygonal Ground Wet Sedge Tundra
2707,Alaska Arctic Polygonal Ground Tussock Tundra
2708,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra
2709,Alaska Arctic Marine Beach and Beach Meadow
2710,Alaska Arctic Tidal Flat
2711,Alaska Arctic Tidal Marsh
2712,Alaska Arctic Coastal Brackish Meadow
2713,Alaska Arctic Active Inland Dune
2714,Alaska Arctic Large River Floodplain
2715,Alaska Arctic Floodplain
2716,Aleutian Rocky Headland and Sea Cliff
2717,Alaska Arctic Bedrock and Talus
2718,Aleutian Mesic Alder-Salmonberry Shrubland
2719,Aleutian Crowberry-Herbaceous Heath
2720,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland
2721,Aleutian Freshwater Aquatic Bed
2722,Aleutian Freshwater Marsh
2723,Aleutian Wet Meadow and Herbaceous Peatland
2724,Aleutian Nonvascular Peatland
2725,Aleutian Marine Beach and Beach Meadow
2726,Aleutian Tidal Marsh
2727,Aleutian Shrub and Herbaceous Meadow Floodplain
2728,Aleutian Floodplain Forest and Shrubland
2729,Aleutian Floodplain Wetland
2730,Aleutian Sparse Heath and Fell-Field
2731,Aleutian Oval-leaf Blueberry Shrubland
2732,Aleutian Volcanic Rock and Talus
2733,North Pacific Montane Massive Bedrock-Cliff and Talus
2734,North Pacific Alpine and Subalpine Bedrock and Scree
2735,North American Glacier and Ice Field
2806,Hawaii Bog
2808,Hawaii Lowland Rainforest
2809,Hawaii Montane Cloud Forest
2810,Hawaii Montane Rainforest
2811,Hawaii Wet Cliff and Ridge Crest Shrubland
2813,Hawaii Lowland Dry Forest
2814,Hawaii Lowland Mesic Forest
2815,Hawaii Montane-Subalpine Dry Forest and Woodland
2816,Hawaii Montane-Subalpine Mesic Forest
2817,Hawaii Lowland Dry Shrubland
2818,Hawaii Lowland Mesic Shrubland
2819,Hawaii Lowland Dry Grassland
2820,Hawaii Lowland Mesic Grassland
2821,Hawaii Montane-Subalpine Dry Shrubland
2822,Hawaii Montane-Subalpine Dry Grassland
2823,Hawaii Montane-Subalpine Mesic Grassland
2824,Hawaii Alpine Dwarf-Shrubland
2825,Hawaii Dry Cliff
2826,Hawaii Dry Coastal Strand
2827,Hawaii Wet-Mesic Coastal Strand
2828,Hawaii Subalpine Mesic Shrubland
2829,Hawaii Alpine Bedrock and Scree
2831,Hawaii Dry-Site Lava Flow
2836,Hawaiian Introduced Wetland Vegetation-Tree
2837,Hawaiian Introduced Wetland Vegetation-Shrub
2838,Hawaiian Introduced Wetland Vegetation-Herbaceous
2845,Hawaiian Introduced Dry Forest
2846,Hawaiian Introduced Wet-Mesic Forest
2847,Hawaiian Introduced Deciduous Shrubland
2848,Hawaiian Introduced Perennial Grassland
2849,Hawaiian Introduced Evergreen Shrubland
2852,Introduced Coastal Wetland Vegetation - Tree
2853,Introduced Coastal Wetland Vegetation - Shrub
2854,Introduced Coastal Wetland Vegetation - Herbaceous
2855,Hawaiian Managed Tree Plantation
