Value,ESP_Name
1120,Willamette Valley Upland Prairie and Savanna
1121,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
1122,Chihuahuan Gypsophilous Grassland and Steppe
1123,Columbia Plateau Steppe and Grassland
1124,Columbia Plateau Low Sagebrush Steppe
1125,Inter-Mountain Basins Big Sagebrush Steppe
1126,Inter-Mountain Basins Montane Sagebrush Steppe
1127,Inter-Mountain Basins Semi-Desert Shrub-Steppe
1128,Northern California Coastal Scrub
1129,California Central Valley and Southern Coastal Grassland
1130,California Mesic Serpentine Grassland
1131,California Northern Coastal Grassland
1132,Central Mixedgrass Prairie
1133,Chihuahuan Sandy Plains Semi-Desert Grassland
1134,Columbia Basin Foothill and Canyon Dry Grassland
1135,Inter-Mountain Basins Semi-Desert Grassland
1136,Mediterranean California Alpine Dry Tundra
1137,Mediterranean California Subalpine Meadow
1138,North Pacific Montane Grassland
1139,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
1140,Northern Rocky Mountain Subalpine-Upper Montane Grassland
1141,Northwestern Great Plains Mixedgrass Prairie
1142,Columbia Basin Palouse Prairie
1143,Rocky Mountain Alpine Fell-Field
1144,Rocky Mountain Alpine Turf
1145,Rocky Mountain Subalpine-Montane Mesic Meadow
1146,Southern Rocky Mountain Montane-Subalpine Grassland
1147,Western Great Plains Foothill and Piedmont Grassland
1148,Western Great Plains Sand Prairie
1149,Western Great Plains Shortgrass Prairie
1150,Western Great Plains Tallgrass Prairie
1151,California Central Valley Riparian Woodland and Shrubland
1152,California Montane Riparian Systems
1153,Inter-Mountain Basins Greasewood Flat
1154,Inter-Mountain Basins Montane Riparian Systems
1155,North American Warm Desert Riparian Systems
1156,North Pacific Lowland Riparian Forest and Shrubland
1157,North Pacific Swamp Systems
1158,North Pacific Montane Riparian Woodland and Shrubland
1159,Rocky Mountain Montane Riparian Systems
1160,Rocky Mountain Subalpine/Upper Montane Riparian Systems
1161,Northern Rocky Mountain Conifer Swamp
1162,Western Great Plains Floodplain Systems
1163,Pacific Coastal Marsh Systems
1165,Northern Rocky Mountain Foothill Conifer Wooded Steppe
1166,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
1167,Rocky Mountain Poor-Site Lodgepole Pine Forest
1168,Northern Rocky Mountain Avalanche Chute Shrubland
1169,Northern Rocky Mountain Subalpine Deciduous Shrubland
1170,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral
1171,North Pacific Alpine and Subalpine Dry Grassland
1172,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
1173,North Pacific Wooded Volcanic Flowage
1174,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest
1175,North Pacific Interior Spruce-Fir Woodland and Forest
1177,California Coastal Closed-Cone Conifer Forest and Woodland
1178,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest
1179,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna
1301,Boreal Aspen-Birch Forest
1302,Laurentian-Acadian Northern Hardwoods Forest
1303,Northeastern Interior Dry-Mesic Oak Forest
1304,Ozark-Ouachita Dry-Mesic Oak Forest
1305,Southern Interior Low Plateau Dry-Mesic Oak Forest
1306,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
1307,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
1308,Crosstimbers Oak Forest and Woodland
1309,Southern Appalachian Northern Hardwood Forest
1310,North-Central Interior Dry-Mesic Oak Forest and Woodland
1311,North-Central Interior Dry Oak Forest and Woodland
1312,Ouachita Montane Oak Forest
1313,North-Central Interior Beech-Maple Forest
1314,North-Central Interior Maple-Basswood Forest
1315,Southern Appalachian Oak Forest
1316,Southern Piedmont Mesic Forest
1317,Allegheny-Cumberland Dry Oak Forest and Woodland
1318,Southern and Central Appalachian Cove Forest
1320,Central and Southern Appalachian Montane Oak Forest
1321,South-Central Interior Mesophytic Forest
1322,Southern Crowley`s Ridge Mesic Loess Slope Forest
1323,West Gulf Coastal Plain Mesic Hardwood Forest
1324,Northern Atlantic Coastal Plain Hardwood Forest
1325,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest
1326,South-Central Interior/Upper Coastal Plain Flatwoods
1327,East Gulf Coastal Plain Northern Loess Bluff Forest
1328,East Gulf Coastal Plain Limestone Forest
1329,East Gulf Coastal Plain Southern Loess Bluff Forest
1330,Southern Coastal Plain Dry Upland Hardwood Forest
1331,Eastern Great Plains Tallgrass Aspen Parkland
1333,South Florida Hardwood Hammock
1334,Ozark-Ouachita Mesic Hardwood Forest
1335,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest
1336,Southwest Florida Coastal Strand and Maritime Hammock
1337,Southeast Florida Coastal Strand and Maritime Hammock
1338,Central and South Texas Coastal Fringe Forest and Woodland
1339,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland
1340,Appalachian Shale Barrens
1341,Northwestern Great Plains Canyon
1342,Piedmont Hardpan Woodland and Forest
1343,Atlantic Coastal Plain Mesic Hardwood Forest
1344,Boreal Jack Pine-Black Spruce Forest
1346,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland
1347,Atlantic Coastal Plain Upland Longleaf Pine Woodland
1348,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland
1349,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland
1350,Central and Southern Appalachian Spruce-Fir Forest
1351,Southeastern Interior Longleaf Pine Woodland
1352,Southern Appalachian Montane Pine Forest and Woodland
1353,Southern Appalachian Low-Elevation Pine Forest
1354,Northeastern Interior Pine Barrens
1355,Northern Atlantic Coastal Plain Pitch Pine Barrens
1356,Florida Longleaf Pine Sandhill
1357,Southern Coastal Plain Mesic Slope Forest
1358,East-Central Texas Plains Southern Pine Forest and Woodland
1360,South Florida Pine Rockland
1361,Central Atlantic Coastal Plain Maritime Forest
1362,Laurentian-Acadian Northern Pine(-Oak) Forest
1363,Central Interior Highlands Dry Acidic Glade and Barrens
1364,Ozark-Ouachita Dry Oak Woodland
1365,Boreal White Spruce-Fir-Hardwood Forest
1366,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1367,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland
1368,Southern Piedmont Dry Oak(-Pine) Forest
1369,Central Appalachian Dry Oak-Pine Forest
1370,Appalachian (Hemlock-)Northern Hardwood Forest
1371,West Gulf Coastal Plain Pine-Hardwood Forest
1372,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest
1373,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
1374,Acadian-Appalachian Montane Spruce-Fir Forest
1375,Eastern Serpentine Woodland
1376,Southern Ridge and Valley/Cumberland Dry Calcareous Forest
1377,Central Appalachian Pine-Oak Rocky Woodland
1378,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland
1379,Northern Atlantic Coastal Plain Maritime Forest
1380,East Gulf Coastal Plain Maritime Forest
1381,Lower Mississippi River Dune Woodland and Forest
1382,Southern Atlantic Coastal Plain Maritime Forest
1383,Edwards Plateau Limestone Savanna and Woodland
1384,Mississippi Delta Maritime Forest
1385,Western Great Plains Wooded Draw and Ravine
1386,Acadian-Appalachian Alpine Tundra
1387,Florida Peninsula Inland Scrub
1389,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz
1390,Tamaulipan Mixed Deciduous Thornscrub
1391,Tamaulipan Mesquite Upland Scrub
1392,Tamaulipan Calcareous Thornscrub
1393,Edwards Plateau Limestone Shrubland
1394,North-Central Interior Oak Savanna
1395,North-Central Oak Barrens
1397,Nashville Basin Limestone Glade and Woodland
1398,Cumberland Sandstone Glade and Barrens
1400,Central Appalachian Alkaline Glade and Woodland
1401,Central Interior Highlands Calcareous Glade and Barrens
1407,Laurentian Pine-Oak Barrens
1408,Alabama Ketona Glade and Woodland
1409,Great Lakes Alvar
1410,Llano Uplift Acidic Forest-Woodland-Glade
1411,Great Lakes Wet-Mesic Lakeplain Prairie
1412,North-Central Interior Sand and Gravel Tallgrass Prairie
1413,Bluegrass Savanna and Woodland
1414,Southern Appalachian Grass and Shrub Bald
1415,Arkansas Valley Prairie and Woodland
1416,Western Highland Rim Prairie and Barrens
1417,Eastern Highland Rim Prairie and Barrens
1418,Pennyroyal Karst Plain Prairie and Barrens
1420,Northern Tallgrass Prairie
1421,Central Tallgrass Prairie
1422,Southern Blackland Tallgrass Prairie
1423,Southeastern Great Plains Tallgrass Prairie
1425,Florida Dry Prairie
1426,Southern Atlantic Coastal Plain Dune and Maritime Grassland
1427,East Gulf Coastal Plain Jackson Plain Prairie and Barrens
1428,West Gulf Coastal Plain Northern Calcareous Prairie
1429,West Gulf Coastal Plain Southern Calcareous Prairie
