system:index,RdEVI,RdNBR,RdNBR2,RdNDVI,aspect,date,elev,focal_mean_evi_1,focal_mean_evi_2,focal_mean_evi_3,focal_mean_evi_4,focal_mean_ndvi_1,focal_mean_ndvi_2,focal_mean_ndvi_3,focal_mean_ndvi_4,focal_mean_ndwi_1,focal_mean_ndwi_2,focal_mean_ndwi_3,focal_mean_ndwi_4,het_evi_1,het_evi_2,het_evi_3,het_evi_4,het_ndvi_1,het_ndvi_2,het_ndvi_3,het_ndvi_4,het_ndwi_1,het_ndwi_2,het_ndwi_3,het_ndwi_4,lat,lon,median_evi,median_ndvi,median_ndwi,ordinal_day,satellite,slope,.geo
0000cc0c88d2b9c45f6b,2.8187514288377025,2.502962313430641,3.646341369630092,1.3317893429443612,348,1030863600000,1817,2.3922616259319907,2.3872702359945643,2.3597706381294534,2.3770314997759274,0.7077709436416626,0.7171832323074341,0.7221959829330444,0.7208637595176697,0.472751259803772,0.47440341114997864,0.4718606770038605,0.4645882844924927,0.2263210204872775,0.25108954846477455,0.2910504820184402,0.29803532889475026,0.01745520007946006,0.019197363239135345,0.019145549702326795,0.020739573746347557,0.02772092066283078,0.02403071983529902,0.0284691486103162,0.03368187589088704,36.43768913327706,-118.68150766638527,2.3990591924735396,0.7329347133636475,0.47963303327560425,243,5,22,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68152716606659,36.437650230107344]}"
00005b952424ca7a2e77,-3.2172095484244996,-0.17756403885796238,-6.912662416647219,0.407063752125628,273,1030863600000,2215,2.4572057833216037,2.509724329635656,2.5666455914333306,2.548461452829542,0.7656838893890381,0.7621350288391113,0.7508163452148438,0.745851993560791,0.5632836818695068,0.5389567613601685,0.5181354284286499,0.5128859877586365,0.19190276895204772,0.31574943335888217,0.33459246379025065,0.32734939129771795,0.012859867858170802,0.0198506488942536,0.02434075890673978,0.02378989854835094,0.02406769156358618,0.0577178579747332,0.06085800368988558,0.06430856735794499,36.43364671449853,-118.67396181799866,2.542037586547972,0.7586513161659241,0.5827017426490784,243,5,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67408975692226,36.43366206436526]}"
0000c9fa621f45aebbcf,12.15373302795325,3.0985357657962718,7.607287079678161,0.9715163814691943,318,1030863600000,1860,2.5993755888254575,2.4141655594967975,2.390261203020584,2.363036463758447,0.7269805669784546,0.7141167521476746,0.7008946537971497,0.6943191289901733,0.48265621066093445,0.4629225730895996,0.4322108030319214,0.41026371717453003,0.38130046322180805,0.32731442761007634,0.43869401139799996,0.5085841200344883,0.018383994113187228,0.022172542847521504,0.03007868786262218,0.03788107291810909,0.03573189447041049,0.04126911706729533,0.07658662301052356,0.10590455159488857,36.44200104664084,-118.6771957530215,2.863961813842482,0.7175398468971252,0.4541718065738678,243,5,24,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67708216908466,36.44208455593061]}"
0000fbe1df69cec1a3f8,4.322167388606127,3.1249605537928167,0.583944947850094,2.42888918339841,293,1030863600000,1835,2.165912336407024,2.3807216744193256,2.448491795620827,2.4941751319689907,0.7238966226577759,0.7251124382019043,0.7215250134468079,0.7209819555282593,0.473299115896225,0.4739031493663788,0.4705979824066162,0.45951783657073975,0.1767768023605058,0.25298023038789047,0.33417604683907043,0.41691425975402663,0.011032449441857156,0.01733019157551817,0.018796957463144442,0.020960007745103964,0.02785411455440585,0.036694178933852975,0.04042802316619695,0.04631777169267444,36.44119256288513,-118.67881272053292,2.493891264508247,0.7344086170196533,0.48088890314102173,243,5,25,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67886839427331,36.4411039857266]}"
00009c267ce819e7c988,13.79540728776941,16.102017164457838,10.463032273337868,5.268029202048271,281,1030863600000,1736,2.2690677229737277,2.3244899939755728,2.270445966534315,2.2673384450539875,0.7236447930335999,0.716040313243866,0.7177027463912964,0.7162297964096069,0.37503182888031006,0.3843383193016052,0.3802795112133026,0.37911903858184814,0.1774222939025872,0.29119681301057615,0.29378002579432505,0.2882431908718485,0.015548821548211385,0.018115259447854713,0.019007265772880064,0.021537159592410926,0.029557057497536187,0.03476987494809999,0.03270843830428977,0.03325163291807581,36.4417315520556,-118.68096867721479,2.3003095975232197,0.728800892829895,0.3704789876937866,243,5,26,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68089012657633,36.44173363402533]}"
00005ad5c9f7b2cd6b2b,10.156093650204397,6.500468076255348,6.742441127499047,3.812764835269108,267,1030863600000,1665,2.2892068000389236,2.2772636597131863,2.2729072403545616,2.300383319968106,0.7359923720359802,0.7241148948669434,0.7226617932319641,0.720495879650116,0.3844698369503021,0.377213716506958,0.3844459056854248,0.38826003670692444,0.1973781870925513,0.2309471612519249,0.20391763663549667,0.22690279550884543,0.017222597606778776,0.021992008560303863,0.020890285956548092,0.021241442931244556,0.023356112375882043,0.03715469757948394,0.038531516752391824,0.04001507529656217,36.4417315520556,-118.68339412848192,2.254335260115607,0.7418273091316223,0.4154929518699646,243,5,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68348918182933,36.441715110758615]}"
000065703ccaaf7973e3,4.167742622124422,-0.2921947485092652,-0.3605539643873453,0.11565039482657766,300,1030863600000,1628,2.4099855518481106,2.4503578001986304,2.403544624182147,2.407110258588677,0.7583926320075989,0.7553741335868835,0.7482115626335144,0.7423439025878906,0.4212619662284851,0.42178380489349365,0.42512232065200806,0.42101359367370605,0.15835845219222,0.16649753636835168,0.24102870977896537,0.2646429379775556,0.009960725581068258,0.01828955878336318,0.025433798250031493,0.025504501956720767,0.025281982795519124,0.02655818123765893,0.026751043873240208,0.03331831167445377,36.44388750873749,-118.68285513931146,2.3403387063864516,0.7651544213294983,0.4286622107028961,243,5,26,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68273560127776,36.44401533773956]}"
000080522249095e015c,20.848483146844522,21.917372064527598,14.151525962977422,10.102089816733107,253,1030863600000,1782,2.4533402387856493,2.5418274793692746,2.6145163698562355,2.593313610843561,0.747600793838501,0.7410439848899841,0.7389340400695801,0.7296968698501587,0.389087975025177,0.3945584297180176,0.4031292796134949,0.40098267793655396,0.19871159714815956,0.23059057391672227,0.260268055733331,0.31031020564434597,0.01351078962421686,0.019208914134302188,0.02115071909094632,0.02677831865830573,0.02582515251060743,0.031898814700450216,0.03871877276056786,0.04604695331905239,36.44712144376032,-118.67530929092484,2.330585856386705,0.7546814680099487,0.3803054094314575,243,5,19,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67530348534153,36.44704930117857]}"
0000d32c4df90a7e2630,10.800661970933309,-2.821237088819975,-4.399731809565312,7.880981251896369,280,1020236400000,2032,2.4817161639717344,2.144201764276286,2.104748996057299,2.159336893849978,0.7501498460769653,0.722762942314148,0.7153087258338928,0.7081972360610962,0.559320330619812,0.553725004196167,0.5572429299354553,0.5579855442047119,0.4991539613602249,0.44224409753984534,0.49429011813853296,0.6792145982338843,0.019411942490779585,0.03169183533784188,0.041312049332664955,0.04914336438281081,0.02997265974926154,0.03770058114709698,0.037555333389632004,0.038300965103071245,36.572705920480225,-118.77232734160975,2.537602062741727,0.7744262218475342,0.5668789744377136,120,5,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.7724578929913,36.572765259174126]}"
0000fe72d369a0caa982,16.5081743280537,3.782177139129265,10.786115234470802,7.378571396039248,236,1020236400000,2054,2.1438969507646517,2.077922005742047,2.0570994560371125,1.999946781163445,0.756946325302124,0.7436435222625732,0.7362951636314392,0.7213022112846375,0.5811310410499573,0.5710039138793945,0.5690128803253174,0.557456910610199,0.2192159037158755,0.2918721187316185,0.3170773028770991,0.37922115198403183,0.016780540262829605,0.0207668035917377,0.029853396107397293,0.04191617016038725,0.022823612548342108,0.024924070452501782,0.027404653910229212,0.034234181965436566,36.57243642589499,-118.77124936326881,2.390279289082336,0.7574712634086609,0.5819969177246094,120,5,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.7713219586891,36.57244860521517]}"
