system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
00008e94e76da88d5fe6,992156400000,2.38,,,,Hoover,220,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49946892983081,37.67112576401659]}"
00000797f31de3e78ed6,992156400000,0.16,,,,Hoover,234,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50065100036431,37.67559713829548]}"
0000e7f2071686b6cd8c,992156400000,1.55,,,,Hoover,196,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49757086400702,37.676383354450174]}"
0000215a50708a53f732,992156400000,1.63,,,,Hoover,221,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49904140663027,37.67290998939567]}"
0000a13baacb64cf3093,992156400000,2.19,,,,Hoover,222,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49447433270142,37.673979962298596]}"
0000daeba629ff82bfc6,992156400000,2.6,,,,Hoover,204,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49561609812034,37.67692038259695]}"
000005a0ceac1ebff1a2,992156400000,1.31,,,,Hoover,235,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49378986311969,37.67689597914385]}"
000062eef9a61959507f,992156400000,0.88,,,,Hoover,197,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.4896340419349,37.674343668373645]}"
0000cb47548cc55fd4cd,992156400000,0.0,,,,Hoover,231,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49298474647335,37.67226066467753]}"
0000f235bd4d9302689a,992156400000,2.69,,,,Hoover,203,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49649999395746,37.67217991898466]}"
00001cc7bc4f6d8fca64,992156400000,0.75,,,,Hoover,195,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49824852086564,37.67023253285491]}"
00008dfaa37463c8f122,992156400000,0.0,,,,Hoover,229,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49820990750193,37.66503403281254]}"
00000b34fe86a0b646be,992156400000,0.0,,,,Hoover,232,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.4958229414352,37.66045298645977]}"
00001821c08c292be473,992156400000,2.5,,,,Hoover,217,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.5029993778204,37.657453333079765]}"
00004d72d1d26fb25150,992156400000,2.5,,,,Hoover,218,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50324593802833,37.66511641869345]}"
000078a67dc5fb8f0711,992156400000,0.2,,,,Hoover,238,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50832060460316,37.65390711007096]}"
