system:index,RdEVI,RdNBR,RdNBR2,RdNDVI,aspect,date,elev,focal_mean_evi_1,focal_mean_evi_2,focal_mean_evi_3,focal_mean_evi_4,focal_mean_ndvi_1,focal_mean_ndvi_2,focal_mean_ndvi_3,focal_mean_ndvi_4,focal_mean_ndwi_1,focal_mean_ndwi_2,focal_mean_ndwi_3,focal_mean_ndwi_4,het_evi_1,het_evi_2,het_evi_3,het_evi_4,het_ndvi_1,het_ndvi_2,het_ndvi_3,het_ndvi_4,het_ndwi_1,het_ndwi_2,het_ndwi_3,het_ndwi_4,ordinal_day,lat,lon,median_evi,median_ndvi,median_ndwi,satellite,slope,.geo
0000ccfcc03624af6cdf_231,13.30971765,6.11271391,4.685783518,4.261583615,348,8.40006E+11,1594,1.955299158,1.961310142,1.980777019,1.947896186,0.726917326,0.726535976,0.721532583,0.710141003,0.312778831,0.307005018,0.313608855,0.306573033,0.141687666,0.160503991,0.154387892,0.195734261,0.015412724,0.01611196,0.01757198,0.031789646,0.034396752,0.038189289,0.04065499,0.052045033,226,37.94901477,-119.8432988,2.109899329,0.745542943,0.295642585,5,6,
0000ccfcc03624af6cdf_232,6.236592929,12.09134423,8.105778744,2.730541301,197,8.40006E+11,1473,1.742982591,1.785637012,1.750474059,1.676049085,0.667270422,0.679748058,0.675693095,0.657627523,0.328974217,0.332213521,0.313981801,0.289246023,0.144337754,0.164754738,0.188984609,0.283434702,0.029922632,0.030817937,0.04145091,0.074469526,0.044333944,0.0467618,0.065839571,0.102358434,226,37.89727181,-119.9101335,1.63923445,0.670078754,0.34898892,5,32,
0000ccfcc03624af6cdf_238,2.313624607,3.976309399,-0.668717482,2.568773967,248,8.40006E+11,2031,2.068885138,2.076061197,2.096931844,2.127474818,0.714927137,0.717338383,0.71869427,0.721576989,0.45935905,0.478791654,0.489488006,0.488589436,0.234281796,0.260643604,0.245232222,0.226311352,0.024647721,0.024279717,0.023781599,0.023137643,0.04593593,0.039352335,0.040189987,0.042755655,226,37.88945646,-119.7597555,2.004576659,0.704467356,0.461350679,5,10,
0000ccfcc03624af6cdf_239,26.11312305,29.28082528,15.22676086,14.2430664,283,8.40006E+11,1385,1.992541331,2.02869315,2.053849679,2.070188245,0.735939443,0.736565232,0.74404639,0.748290062,0.367260873,0.377520055,0.392567933,0.399147213,0.15938204,0.198568137,0.246877919,0.252956853,0.020838335,0.027797749,0.028033255,0.028895249,0.034053642,0.042841892,0.048775112,0.050913954,226,37.94631982,-119.9025876,1.817022052,0.745682895,0.358401895,5,20,
0000ccfcc03624af6cdf_240,8.059264038,11.82632883,1.683656535,3.661537397,317,8.40006E+11,1348,1.400099497,1.392408729,1.34826303,1.363654744,0.499813259,0.509918272,0.502566695,0.514769077,0.06441395,0.085844897,0.086742289,0.096459918,0.216028597,0.256380486,0.309257437,0.362622919,0.059482936,0.067362024,0.094296368,0.111345959,0.081187544,0.094122887,0.094797207,0.111850573,226,37.96760989,-119.9160624,1.185483871,0.468460113,-0.028536361,5,14,
0000ccfcc03624af6cdf_242,6.192990958,4.690012366,1.380091315,2.474217159,333,8.40006E+11,1491,1.879920511,1.795424858,1.802058776,1.848376757,0.673066616,0.662403703,0.652395427,0.666693747,0.224534914,0.201963544,0.193343833,0.216036856,0.149922582,0.20702627,0.260798773,0.278978106,0.027914939,0.04013159,0.060707743,0.074162359,0.023765673,0.047456212,0.064447552,0.085164302,226,37.92044834,-119.7980237,1.770348041,0.679615557,0.228877842,5,20,
0000ccfcc03624af6cdf_244,-0.473258178,0.818416699,0.305321064,0.617711012,52,8.40006E+11,2034,0.644701312,0.842819311,0.971159608,1.092200865,0.229299739,0.291198581,0.341340899,0.382421464,-0.05887768,-0.017854275,0.001782548,0.027699007,0.14329576,0.462123373,0.486935572,0.541521365,0.059853776,0.150224627,0.163463836,0.166009723,0.084869915,0.140580457,0.153143647,0.160833164,226,37.8579256,-119.7287636,0.539399625,0.205847248,-0.096646942,5,17,
0000ccfcc03624af6cdf_246,18.90626126,12.26172891,2.930341079,7.033483857,308,8.40006E+11,2151,1.739433513,1.76538201,1.783338887,1.736171722,0.652613699,0.663250089,0.661592245,0.648791432,0.322037846,0.351648569,0.345183134,0.319676638,0.246168069,0.264932498,0.26458247,0.281743584,0.044266115,0.04827326,0.054919601,0.061469217,0.10302152,0.101664885,0.09750216,0.109342888,226,37.86385448,-119.7500537,1.583755916,0.640284002,0.281503975,5,1,
0000ccfcc03624af6cdf_248,13.21163404,11.09306959,4.551818637,6.296666883,75,8.40006E+11,1483,1.674089054,1.635411526,1.629334547,1.605913486,0.676473558,0.660275996,0.648321509,0.641370177,0.324535042,0.322698414,0.312529653,0.307360291,0.31853785,0.366343426,0.372643742,0.377292542,0.08072563,0.109314115,0.119896324,0.123264071,0.10878797,0.135891649,0.133203826,0.133026548,226,37.95844708,-119.9319625,1.609773003,0.669421494,0.292504579,5,7,
0000ccfcc03624af6cdf_249,12.27284202,7.292281064,5.783765609,4.62510463,302,8.40006E+11,1859,2.028824161,2.03664845,1.992851611,1.963347457,0.708631396,0.70417726,0.701471806,0.69835937,0.433815897,0.411697328,0.405107677,0.401783675,0.189988238,0.223866803,0.226066403,0.240900239,0.021129856,0.022933488,0.021685043,0.027132326,0.034389436,0.043140945,0.044622572,0.060151347,226,37.88864798,-119.7745777,1.9990081,0.71909225,0.455168903,5,7,
