system:index,RdEVI,RdNBR,RdNBR2,RdNDVI,aspect,date,elev,focal_mean_evi_1,focal_mean_evi_2,focal_mean_evi_3,focal_mean_evi_4,focal_mean_ndvi_1,focal_mean_ndvi_2,focal_mean_ndvi_3,focal_mean_ndvi_4,focal_mean_ndwi_1,focal_mean_ndwi_2,focal_mean_ndwi_3,focal_mean_ndwi_4,het_evi_1,het_evi_2,het_evi_3,het_evi_4,het_ndvi_1,het_ndvi_2,het_ndvi_3,het_ndvi_4,het_ndwi_1,het_ndwi_2,het_ndwi_3,het_ndwi_4,julian_day,lat,lon,median_evi,median_ndvi,median_ndwi,satellite,slope,.geo
0000343d391393165adf_0,12.560024521525692,10.632262788978313,5.231459905297534,5.990255695235066,347,1279350000000,1903,1.818821181363767,1.6753805339166843,1.6249289580276625,1.5997601303940083,0.6072084307670593,0.5623816251754761,0.535024106502533,0.5221271514892578,0.23627495765686035,0.17928993701934814,0.14483623206615448,0.12131661176681519,0.23742502323608733,0.36718574317183533,0.4127028779447288,0.40860323857213077,0.06287536884821068,0.11848800634970848,0.14647859994562593,0.14656969607161066,0.10986870164797552,0.16729766628205808,0.19297645790382617,0.19378560474959203,197,36.79908137207835,-118.76235604195602,2.0116944004868214,0.6613402366638184,0.36304545402526855,5,28,
0000343d391393165adf_1,14.210393069262814,10.708084043700755,3.9377231606950263,6.092650432008886,75,1279350000000,2233,1.581818937217462,1.5393643735008269,1.5289209113027022,1.5208979158904632,0.5968705415725708,0.5783437490463257,0.5744020938873291,0.5659052729606628,0.18812912702560425,0.1792054921388626,0.17852866649627686,0.1888643205165863,0.1200419725680076,0.19193130699470057,0.20847782340669052,0.29064300622747097,0.02868502904855252,0.044679604430294007,0.05160805073580879,0.07439035656391409,0.04358599646070883,0.06633041960707314,0.0748013611493149,0.10725173394885681,197,36.769167473117164,-118.70010279276654,1.63542562338779,0.6210200786590576,0.2094006985425949,5,14,
0000343d391393165adf_3,8.316136867443344,7.350033622032751,5.02715592039116,3.946528756177148,352,1279350000000,1479,1.9528460800208727,1.988226917413051,1.9230865862242799,1.8739066725244522,0.6693234443664551,0.6726691126823425,0.6651678681373596,0.6527470350265503,0.2598556578159332,0.26977211236953735,0.2650764584541321,0.25126662850379944,0.21335353995330295,0.2941850328882143,0.32792937579022324,0.33846325823890744,0.033786101473232015,0.06059733756527368,0.0779610630975274,0.07936483201968676,0.05574998113521756,0.0843229171290687,0.09349380061206143,0.09397569423595618,197,36.78857108325415,-118.6771957530215,2.027835288704854,0.6705882549285889,0.2547680139541626,5,8,
0000343d391393165adf_4,22.861871538170128,14.419996674592525,5.910924577599698,9.276830824718738,310,1279350000000,2056,1.7777222551204723,1.8559551214138543,1.8556404614509479,1.8809169289882852,0.630858302116394,0.6592839956283569,0.6686707735061646,0.6784274578094482,0.2785894274711609,0.34270018339157104,0.3652317523956299,0.38767361640930176,0.2298640981573296,0.24377261888965146,0.23392923803230173,0.24277827131517293,0.06269865020553698,0.049690539469598796,0.044845810059332344,0.04230205764298161,0.11503136718423435,0.12850095539477951,0.11775802628733714,0.11038217602450426,197,36.79072703993604,-118.77286633078023,1.86979075077235,0.6139217019081116,0.1885966658592224,5,27,
0000343d391393165adf_5,27.359848084573805,16.29559996416818,8.01987322522804,12.152287228498633,27,1279350000000,1890,1.9350203517146,1.910077088137744,1.857853691235846,1.8202187186057264,0.6817531585693359,0.6833122968673706,0.6751962900161743,0.6666909456253052,0.3914249539375305,0.37352877855300903,0.34377357363700867,0.32332944869995117,0.14123389140878514,0.16594405554285213,0.1847173323082091,0.21406032648194237,0.02038168870891669,0.020716417884832142,0.025601302137265237,0.03610000953522175,0.03895081339879345,0.04438139068129808,0.059434009225683176,0.08140490545016814,197,36.789918556180325,-118.7456473776714,2.0044584804012633,0.6798350811004639,0.37798792123794556,5,22,
0000343d391393165adf_6,9.192325014783677,6.184268131346083,3.852073237020726,3.6043264644036035,337,1279350000000,2169,1.7745882731554872,1.7182698198587127,1.7298999482406954,1.7268839953784663,0.6387635469436646,0.6267952919006348,0.6182472705841064,0.6238574385643005,0.25297078490257263,0.24957230687141418,0.2570608854293823,0.27263787388801575,0.15116254885202274,0.23595932685848137,0.28824908485489986,0.29472712468467627,0.02458298033024641,0.05037573713022836,0.06894296833774374,0.07198155612677044,0.042139653480129796,0.09385534670507875,0.12244932840960271,0.1260522594635528,197,36.788301588668915,-118.77367481453594,1.6874830568372148,0.626091718673706,0.2180444598197937,5,40,
0000343d391393165adf_7,9.009373341785825,13.34927931445117,6.77312754753395,4.703805719034036,164,1279350000000,2224,1.1123242007902459,1.1099216104875826,1.0996249471343233,1.0821833470257287,0.4608721137046814,0.45738664269447327,0.4426436424255371,0.4298856258392334,0.021454082801938057,0.027031591162085533,0.01686648279428482,0.006819407921284437,0.08966228472273063,0.14131083612699918,0.17065043275252675,0.2063560242130255,0.027202071484080104,0.04833225083008144,0.06192608610974421,0.06987030747054976,0.02687221502613639,0.04835100828449425,0.057746634344857675,0.06525748823602154,197,36.781833718623254,-118.70145026569273,1.2836133115064476,0.5154443979263306,0.0987115204334259,5,16,
0000343d391393165adf_8,4.558161678543102,5.429388770446026,5.507399484393146,3.363599531247306,305,1279350000000,2192,1.7957182976449384,1.8203841820206725,1.8522369982629414,1.8671343470989266,0.6218447685241699,0.6451292634010315,0.652634859085083,0.655175507068634,0.27199095487594604,0.3027421236038208,0.33142566680908203,0.3496636152267456,0.19011485754340723,0.18369924840574417,0.2533417016310393,0.2957471325319958,0.04441975024264841,0.04754952685942303,0.0721442435048936,0.09221114289614263,0.08482219600772403,0.10666068297195017,0.13618345243036853,0.14862360634173005,197,36.79180501827698,-118.76693744990504,1.8880463008411559,0.641570508480072,0.2989373803138733,5,30,
0000343d391393165adf_9,28.870604081044203,16.371762443673813,6.611282864014051,12.455563121192858,357,1279350000000,1952,1.8399239837563166,1.7364425342505854,1.6675260766654312,1.6187457512131518,0.6558575630187988,0.6356068849563599,0.6147444248199463,0.5969500541687012,0.32485195994377136,0.28348004817962646,0.2479856163263321,0.22510893642902374,0.11609853883012419,0.1625086931569679,0.21469507843346586,0.24877632672450437,0.014693416893585179,0.03579994277108915,0.057134019723274844,0.0728245261048468,0.03311282540077307,0.05903080345881073,0.09238069459841687,0.11218826633895267,197,36.79342198578839,-118.70710965198268,1.8682505399568035,0.6668094396591187,0.3340708017349243,5,20,
0000343d391393165adf_10,16.980950390984738,12.355824092083907,6.867816803872773,7.721055279005541,352,1279350000000,1840,1.788627168706995,1.768614783595366,1.7648847376722978,1.7861142694173744,0.6204761266708374,0.630791962146759,0.632374107837677,0.6320309638977051,0.23300620913505554,0.24468930065631866,0.2536261975765228,0.25290921330451965,0.12886160750896772,0.17699970055824418,0.1797181403668802,0.18716894525488995,0.014431558453801032,0.026782167759121664,0.032773228437703535,0.0358428538852122,0.04150217029659436,0.05104624292125339,0.0619588375474893,0.06552012679305842,197,36.79369148037363,-118.72786073504584,1.795252225519288,0.6294947862625122,0.25365719199180603,5,31,
