system:index,RdEVI,RdNBR,RdNBR2,RdNDVI,aspect,date,elev,focal_mean_evi_1,focal_mean_evi_2,focal_mean_evi_3,focal_mean_evi_4,focal_mean_ndvi_1,focal_mean_ndvi_2,focal_mean_ndvi_3,focal_mean_ndvi_4,focal_mean_ndwi_1,focal_mean_ndwi_2,focal_mean_ndwi_3,focal_mean_ndwi_4,het_evi_1,het_evi_2,het_evi_3,het_evi_4,het_ndvi_1,het_ndvi_2,het_ndvi_3,het_ndvi_4,het_ndwi_1,het_ndwi_2,het_ndwi_3,het_ndwi_4,julian_day,lat,lon,median_evi,median_ndvi,median_ndwi,satellite,slope,.geo
000019b0f5acaf6d6f0a_1,0.3770618064261095,0.3527978182530645,-0.488502393787992,0.19130189291906485,15,557305200000,1121,2.3319619438275305,2.2937288918563916,2.303525472499616,2.304294381414373,0.7719888687133789,0.7718751430511475,0.7722322344779968,0.7722669839859009,0.5013147592544556,0.4931265413761139,0.4793882966041565,0.4688488841056824,0.11021258811420112,0.17743633528335856,0.2082933550246559,0.24729105139749402,0.009840606347382277,0.016506048064571628,0.018010206432494544,0.018408905704985976,0.02058406814642027,0.026125157139401816,0.033715720154069456,0.040938277114800484,241,38.02797668075385,-120.19013835453559,2.26244766301787,0.7798671722412109,0.5255573987960815,5,21,
000019b0f5acaf6d6f0a_2,-0.8565575748751995,5.667972366111335,3.1161876812040177,2.6530236362856234,47,557305200000,930,2.0422696387678694,2.00251183758094,1.9556130403071714,1.9633449112447727,0.7392235994338989,0.7314900755882263,0.7173073291778564,0.7117443680763245,0.33119508624076843,0.328563928604126,0.31700819730758667,0.30379951000213623,0.13262741728920846,0.18213043001356077,0.24032366795611423,0.2592240266745543,0.025240367932875655,0.032025975059152514,0.041451635146982496,0.04376845000232302,0.03076043555228452,0.03975164241063889,0.059470926735700855,0.06268714621957835,241,38.02743769158338,-120.18393997907518,2.1776619373447357,0.7614167928695679,0.3453252613544464,5,10,
000019b0f5acaf6d6f0a_3,12.93614342317673,8.166207952470144,3.18532992757681,5.484739701154923,99,557305200000,936,1.936156656740363,1.9886733864541566,2.0244066328782067,2.0326471511418327,0.741552472114563,0.7462018728256226,0.7496336698532104,0.7447152137756348,0.2708435654640198,0.2930604815483093,0.302776575088501,0.31163108348846436,0.18632844174727115,0.1758349274564061,0.15659368778697833,0.18688284559684393,0.0344553058347597,0.03001828053074696,0.026245531204452142,0.03772285370287416,0.04191330490515399,0.046358544584922765,0.046999694978451995,0.05091932041346793,241,38.02312577821961,-120.17774160361475,2.0850158179704095,0.7681359052658081,0.29087814688682556,5,27,
0000aaa1dc336e8b99f8_1,30.530386645375224,20.80680055478136,12.495540533961707,14.763907610456435,301,557391600000,1396,1.925671306755141,1.8295721645971659,1.8250749780721267,1.8006052747647487,0.7020444869995117,0.6845986843109131,0.6851785778999329,0.6864988803863525,0.3591230809688568,0.3342220187187195,0.33747559785842896,0.332080602645874,0.15222323165645174,0.33234811082266047,0.31185221858502427,0.2944936333109738,0.030248718158626342,0.06985102458272413,0.06587715894017215,0.06409708782246455,0.043034713642131905,0.07188260055475941,0.06804390554540712,0.06700931001584645,242,37.95898606693348,-120.1292325782723,2.081690409261994,0.7243387699127197,0.39233100414276123,5,30,
0000aaa1dc336e8b99f8_2,14.972448481165314,12.977856663867888,2.8704333859228077,7.917716877698948,73,557391600000,1601,1.2940614143093123,1.203378888629413,1.2800067085965017,1.3683999889333962,0.6039949655532837,0.5657066106796265,0.5742458701133728,0.5962503552436829,0.24347633123397827,0.19098907709121704,0.20097362995147705,0.22624540328979492,0.23126156423682184,0.2878526301260328,0.374765524706427,0.4364051828780081,0.06311597261904768,0.09067711582114169,0.11415153861663227,0.12758014989831834,0.07777118485979181,0.12674914758628514,0.15765754486262737,0.18352093603919678,242,37.98054563375234,-120.11467987066956,1.376872833310077,0.6338351368904114,0.2835242450237274,5,16,
0000aaa1dc336e8b99f8_4,18.11398878914646,16.724031440435244,8.784992199863948,8.28024981107983,238,557391600000,1139,1.8214019558380907,1.7940173496075897,1.7925269556894898,1.8261799385650388,0.675436794757843,0.6682817935943604,0.6716949343681335,0.6769547462463379,0.3503439128398895,0.33718323707580566,0.3369433879852295,0.33889102935791016,0.1707573870181301,0.1989482602879543,0.2270751454040762,0.2730675036267666,0.0243487921770434,0.033544295712632136,0.03986933989030468,0.05007930256139542,0.04007165432887903,0.04412014278600152,0.046402502424343614,0.06720738420046976,242,37.97219130161003,-120.16291940142678,1.8123838752488388,0.657846212387085,0.328849196434021,5,12,
0000aaa1dc336e8b99f8_8,23.051317265322652,26.376344841851527,10.172459993878714,13.695920000903806,289,557391600000,1202,1.4761745260328798,1.57055932921448,1.5421280949644476,1.5344238429599444,0.6306530833244324,0.652979850769043,0.6442869901657104,0.6439017057418823,0.2301001399755478,0.2586841583251953,0.24411414563655853,0.23463676869869232,0.14570407976021493,0.19199406771751665,0.2803143444522153,0.30950747551017244,0.029605894809892397,0.03562233226643276,0.06354399773358246,0.07425431642052124,0.032148548709035815,0.05291248599464292,0.08552006676362697,0.0984946768121257,242,37.881371626385544,-120.05054015938342,1.3766162249148621,0.6132020354270935,0.205388605594635,5,9,
0000aaa1dc336e8b99f8_9,-0.8343544113927394,3.59304252339723,1.767992828773509,1.8654619602537388,25,557391600000,1630,1.7621020143446666,1.6796025706745894,1.6490513143251646,1.6329072416324406,0.7148659229278564,0.6978034973144531,0.6853662729263306,0.6798324584960938,0.4264826476573944,0.40695661306381226,0.38384127616882324,0.37026339769363403,0.13587246504203007,0.23508716415294104,0.31199554758871284,0.3312958914698946,0.0256955758120962,0.05624053236904847,0.07625201682856275,0.07554177315291778,0.0408203535853453,0.09425618057352542,0.12602577078598884,0.13147939709925852,242,37.96734039907579,-120.10794250603865,1.5593445522679896,0.6805734634399414,0.4177711009979248,5,8,
0000aaa1dc336e8b99f8_10,26.525188293455027,31.638707204417546,15.937140257918804,16.073822777601272,166,557391600000,930,1.3582878070657385,1.3468639442544181,1.3515157210032198,1.368351653859364,0.566457986831665,0.5619990825653076,0.561855673789978,0.5660186409950256,0.18170678615570068,0.1815882921218872,0.18664051592350006,0.19216778874397278,0.1378647224094759,0.2128883461372683,0.20473399518707774,0.1993718853521202,0.03864265312883524,0.04712059037950683,0.04817320454144651,0.05110534609182792,0.027464697230524096,0.040243553072293436,0.05078450231120923,0.051964776061577955,242,37.90643462281248,-120.19660622458126,1.3894174815354041,0.5648097991943359,0.17037847638130188,5,5,
0000aaa1dc336e8b99f8_12,29.044324511504232,26.787108864688193,14.952794506490923,14.967930614836575,259,557391600000,1411,2.0178164423372613,1.9832186538318917,1.9885594320346511,1.9838055634523284,0.7414726614952087,0.7353154420852661,0.7332601547241211,0.7324265241622925,0.42644062638282776,0.4239968955516815,0.4136624336242676,0.4104805588722229,0.13168505279680032,0.20247496307664437,0.23656346545287207,0.25686425146954167,0.015675258211024,0.024267725031876818,0.02453418865187381,0.027078537235785897,0.02800702556357835,0.05160049439802782,0.0532577547143679,0.05709452439407283,242,37.95197920771734,-120.106056043942,2.075607996714587,0.7375282049179077,0.41077136993408203,5,23,
