fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day
00008d5de721e09c31cb,1,CA,NPS,YNP,QUITIN TIME,00000074,1,,11.9306976115007,11.9307441711426,8,2,00000074,4.8282010174893,0,30,1985,8,3,1985,11,10
00008be53bb047fd2330,1,CA,NPS,YNP,VINEYARD,00000075,1,,69.4705468273444,69.4708251953125,8,2,00000075,28.1138450086395,0,198,1985,8,3,1985,11,10
000065cec43f1627d1d3,1,CA,NPS,YNP,MORRISON,00000085,1,,44.5198551183285,44.5200347900391,8,2,00000085,18.0166183123445,0,152,1985,8,6,1985,11,10
0000d7e05958106f6a84,1,CA,NPS,YNP,KIWI,00000077,1,,39.5849400320504,39.5851020812988,8,2,00000077,16.019521964864,0,8,1985,8,6,1985,11,10
000056cf0d018264dd3c,1,CA,NPS,YNP,,00000078,1,,113.126081126879,113.126533508301,8,2,00000078,45.7806838344403,0,376,1985,8,6,1985,11,10
00001a824b6476c1130d,1,CA,NPS,YNP,BUCK,00000080,1,,348.062915759467,348.064300537109,4,2,00000080,140.856630701515,0,1507,1985,8,9,1985,11,10
0000fce0cbb7a5f78627,1,CA,CDF,AEU,8 MILE,00001836,9,,,812.950317382812,,1,00000459,328.989326185042,0,3052,1985,8,9,,,
00009853db32c2358eb2,1,CA,USF,STF,SUMMIT,,2,20090305,145,175.564407348633,6,1,00000112,71.048395343076,0,759,1985,8,10,1985,8,12
0000a97d993e8bd963f6,1,CA,USF,ENF,,00000000,9,,207,224.233444213867,8,1,00000066,90.7440578961632,0,1096,1985,8,10,1985,8,12
00003d262e16ed5db1e3,1,CA,USF,INF,,00000000,1,,,211.688766479492,,1,00005412,85.6674040255697,0,535,1985,8,17,,,
0000fcd736d55c46954b,1,CA,USF,TNF,COBURN,00000000,3,,32,35.0004386901855,,1,00000117,14.1641757046471,0,170,1985,8,26,1985,8,28
0000e1f86708c76fbc59,1,CA,USF,STF,RIVER,,7,20090305,316,332.035247802734,6,1,00000125,134.369897119052,0,365,1985,8,31,1985,9,2
0000fe83ac4471efc7fe,1,CA,NPS,KNP,ACQUISTIT,00000000,1,,80,140.349395751953,8,1,00000080,56.7973848219762,0,394,1985,10,15,1985,10,19
000081cf9c09916ad786,1,CA,USF,TNF,SLATE,00000000,1,,,2040.23803710938,,1,00000013,825.655018257949,0,9064,1986,6,11,1986,6,12
0000ebbaa674ac6cd1f1,1,CA,NPS,YNP,GLACIER POINT,00000016,4,,685.812570848407,685.815307617188,4,1,00000016,277.539609924193,0,1615,1986,6,27,1986,7,1
00002dd75631195fe3d0,1,CA,USF,STF,RIVERSIDE,,9,20090305,0,114.01000213623,8,1,00000023,46.1382105334652,0,191,1986,7,15,,,
0000b758dcadf7b4469d,1,CA,USF,TOI,,00000000,2,,,3381.14404296875,,1,00000029,1368.30046563722,0,3668,1986,7,16,,,
000056980f8fd3b4a731,1,CA,NPS,KNP,MUIR GROV,00000000,1,,150,68.2859649658203,8,2,00000018,27.6343485509243,0,378,1986,7,23,1986,9,16
0000cd4c4538b680c88b,1,CA,NPS,YNP,W TURNER,00000027,1,,252.888765595256,252.889785766602,4,1,00000027,102.340862541315,0,1107,1986,7,23,1986,9,17
00000396a742e37ea3c6,1,CA,NPS,KNP,CAMP CREE,00000000,1,,400,389.949859619141,8,2,00000022,157.807109616265,0,2017,1986,7,24,1986,8,27
00000e5cd32d1b2011b9,1,CA,USF,SQF,,00000000,1,,20,6.62359237670898,8,1,00000100,2.68047282888167,0,9,1986,7,24,1986,7,30
000059f5cf41686cad35,1,CA,NPS,YNP,CASCADE CREEK,00000029,1,,2069.01570230054,2069.02392578125,4,2,00000029,837.304293964282,0,9975,1986,7,27,1986,9,22
0000b41aec59322ad9a2,1,CA,USF,STF,SOLDIER,,3,20090305,20,8.12009716033936,6,1,00000064,3.28608674496789,0,46,1986,8,12,1986,8,13
0000a98d24e19604b186,1,CA,USF,PNF,,00000000,3,,149,117.81958770752,8,1,00000108,47.679894534435,0,377,1986,8,14,1986,8,18
0000daf309b0c4ce3ade,1,CA,USF,PNF,,00000000,1,,,4.55792331695557,,1,00000147,1.84452605738239,0,28,1986,8,16,,,
0000b0bc7ddd8a8b814b,1,CA,USF,PNF,,00000000,1,,,29.546667098999,,1,00000111,11.9571122168164,0,160,1986,8,16,,,
00009ada236ac5e4c0c2,1,CA,NPS,YNP,BLUE JAY,00000038,1,,70.8597391733239,70.8600234985352,8,2,00000038,28.6760339334945,0,138,1986,8,20,1986,11,27
0000eb3d171f26da4066,1,CA,USF,SNF,DEER,00000000,3,,11860,12409.724609375,8,1,00000086,5022.03729491237,0,12756,1986,9,9,1986,9,20
