model,neighborhood_size,loo,delta,se,loo_model_weights_pct,R2
1,90m x 90m,40785.7725658411,0,,100,0.299
2,150m x 150m,40841.801787789474,56.029,14.689,0,0.298
3,210m x 210m,40882.645042535914,96.872,20.943,0,0.297
4,270m x 270m,40911.67899779788,125.906,24.731,0,0.297
