lwr,mean,upr,param,radius
-2.5746824158903423,-2.4136922298977224,-2.258115353798048,b_intercept,1
-0.2511358104674807,-0.21260682617852367,-0.17438829996911692,b_het,1
-0.028888391016770477,0.0021916309681667095,0.034053934571914586,b_topo_roughness,1
-0.3112499073176849,-0.16825127798272338,-0.027625306038864445,b_neighborhood_mean,1
0.9307731794603539,1.060363814610482,1.191794052402916,b_preFire_ndvi,1
-0.7087867477456421,-0.575835673521451,-0.4420224520019903,b_fm100,1
0.2149666346833128,0.24577422003253932,0.27716194310592535,b_pahl,1
-0.5865652166771842,-0.5404246954220341,-0.49388048101579857,b_neighborhood_mean_ndvi.preFire_ndvi,1
-0.20603744295293644,-0.11474737895468295,-0.021877228717076678,b_het_ndvi.neighborhood_mean_ndvi,1
0.031417406100570595,0.1278086176859668,0.22120379859900752,b_het_ndvi.preFire_ndvi,1
-0.07315052449032594,-0.03201398541232723,0.010142765791541606,b_het_ndvi.fm100,1
-31.451049465828028,0.022646881272663733,31.252069404212605,b_intercept_prior,1
-1.9472376105392613,-0.013835114401280942,1.9851220400087046,b_het_prior,1
-1.9680827422802205,-0.001846844028034347,1.956892184622683,b_topo_roughness_prior,1
-1.9628646882504412,-7.742369515552641e-4,1.9618399243597962,b_neighborhood_mean_prior,1
-1.9696570652233214,-0.001747860230979901,1.9435994974264867,b_preFire_ndvi_prior,1
-2.0149128308838504,-6.111256654235099e-4,1.9234977390213492,b_fm100_prior,1
-1.947025466644253,-0.005227426873512062,1.9566469755839728,b_pahl_prior,1
-1.9687120345171039,0.007954812297798704,2.0197908879577033,b_neighborhood_mean_ndvi.preFire_ndvi_prior,1
-1.9433242823403016,0.0021002770455526795,1.9752676576821155,b_het_ndvi.neighborhood_mean_ndvi_prior,1
-1.976761797737614,0.011721115142776102,1.9449664403219384,b_het_ndvi.preFire_ndvi_prior,1
-1.944816781982718,0.012087748459949477,1.9807655382437586,b_het_ndvi.fm100_prior,1
-2.5889694715590466,-2.430258523112645,-2.2749974690143273,b_intercept,2
-0.25897241447632025,-0.219022687915487,-0.17731206377808276,b_het,2
-0.025812144111732466,0.007076928311951895,0.039276344303251894,b_topo_roughness,2
-0.39812931744066027,-0.2891406118456777,-0.18177448536792667,b_neighborhood_mean,2
1.0413100864267995,1.13857319760706,1.2356053572548993,b_preFire_ndvi,2
-0.7169313926582946,-0.5725019640612948,-0.43413875969519466,b_fm100,2
0.21329138853255583,0.24409034359983986,0.27498964108833435,b_pahl,2
-0.5766998229804114,-0.5300740244114496,-0.48274326638709236,b_neighborhood_mean_ndvi.preFire_ndvi,2
-0.12999120613398676,-0.057327616923910155,0.014149511463455697,b_het_ndvi.neighborhood_mean_ndvi,2
-0.011301718359447049,0.06154174582638459,0.13503167454305176,b_het_ndvi.preFire_ndvi,2
-0.07201119573273587,-0.027821593126173043,0.015947907132226085,b_het_ndvi.fm100,2
-32.04042548761903,0.24170614784677144,32.36723558753894,b_intercept_prior,2
-1.9743406434616488,-0.008345252727171964,1.9896010356592113,b_het_prior,2
-1.9446103792081904,0.01263247504179217,1.9614948322174184,b_topo_roughness_prior,2
-2.0140674099179,-0.014247256501630768,1.9242885255479236,b_neighborhood_mean_prior,2
-1.9470259336948585,0.01866590089266836,2.012507517606764,b_preFire_ndvi_prior,2
-1.9828108049176187,-0.008410845483316148,1.915077518118892,b_fm100_prior,2
-1.9421962052432424,0.008107711058770296,1.9736645916321758,b_pahl_prior,2
-1.9464875655749447,-0.00392300757991584,1.8960905956639964,b_neighborhood_mean_ndvi.preFire_ndvi_prior,2
-1.9365076146840976,0.009203824588435739,1.9867434875783128,b_het_ndvi.neighborhood_mean_ndvi_prior,2
-1.9597183386223498,-7.399136362900734e-4,1.940513473508011,b_het_ndvi.preFire_ndvi_prior,2
-1.9682609548498646,0.003243243526802223,2.0025704319525572,b_het_ndvi.fm100_prior,2
-2.598297480514584,-2.434888930552262,-2.279628364827202,b_intercept,3
-0.2539709179376741,-0.21058455075966048,-0.1670227707441953,b_het,3
-0.0223578143617172,0.010428235777826471,0.04328216692344547,b_topo_roughness,3
-0.4055497889588085,-0.30794065823402544,-0.20991266254630564,b_neighborhood_mean,3
1.0589696266996034,1.1430228883625155,1.2264705321966636,b_preFire_ndvi,3
-0.7070384772338713,-0.5698588433127656,-0.4376154018849537,b_fm100,3
0.21488678483028162,0.24524299395269042,0.2761326000561009,b_pahl,3
-0.5654155950457223,-0.5171806279949737,-0.470031102337538,b_neighborhood_mean_ndvi.preFire_ndvi,3
-0.0735306852542978,-0.012387866580834312,0.04996379312938872,b_het_ndvi.neighborhood_mean_ndvi,3
-0.03726523924785703,0.027686651952729627,0.09153966588176707,b_het_ndvi.preFire_ndvi,3
-0.06476279585500029,-0.02011963632796598,0.023808567450813813,b_het_ndvi.fm100,3
-31.109880880797377,0.021591949008776062,31.365902913667426,b_intercept_prior,3
-1.976723211920185,-8.38115676412957e-4,1.971173224669165,b_het_prior,3
-1.9625888567412935,-0.002790996210304249,1.976354406111319,b_topo_roughness_prior,3
-1.9865133864564044,-0.008792469303179232,1.9943408018809279,b_neighborhood_mean_prior,3
-1.965588339364685,0.004861865084986582,1.9553327081873022,b_preFire_ndvi_prior,3
-1.9855929859579917,-0.0010826577009281412,1.9728043296747457,b_fm100_prior,3
-1.9551682640128083,0.006629883031983585,1.9967783377536787,b_pahl_prior,3
-1.9653256251696305,0.009446277294991267,1.9461522293553657,b_neighborhood_mean_ndvi.preFire_ndvi_prior,3
