"id","response","time_window","interpolation","a","b","c","r2_kfold","r2_all","unchanged","low_sev","mod_sev","hi_sev"
1,"RdNBR",16,"bilinear",0.279226023265166,2.51818225594771,0.90853468849572,0.773911350491234,0.768233889817127,2.79740827921287,3.03690888174769,8.11896605705061,19.7271506884423
2,"dNBR",16,"bilinear",0.0326783298845961,0.0363555050906474,1.04752845282742,0.759944765414011,0.767309951033878,0.0690338349752435,0.073048796149318,0.167338750322739,0.416540923014261
3,"RdNBR2",16,"bilinear",1.92843033826237,0.46458433285089,1.18924668520035,0.681848252265917,0.662226773393673,2.39301467111326,2.45168473628075,3.98275297300938,8.67607065246254
4,"dNBR2",16,"bilinear",0.0298432840092191,0.00875351168073936,1.13836914496336,0.661846115359665,0.667608563582413,0.0385967956899584,0.0396522010029872,0.0661650213187764,0.143227878494517
5,"RdNDVI",16,"bilinear",-0.982974571154671,2.50282899144028,0.677655767268308,0.746583881554074,0.760040900307745,1.51985442028561,1.69533882174766,4.85562750557139,10.5147271496443
6,"dNDVI",16,"bilinear",-0.0231293403355455,0.0603515541291023,0.688711623951209,0.707061763904048,0.72912452370957,0.0372222137935568,0.0415251695679232,0.119618001762277,0.261101820313528
7,"RBR",16,"bilinear",0.021276403302408,0.0260348418996975,1.01639260099737,0.78130434385333,0.791267315889099,0.0473112452021054,0.0500965584558311,0.114028143656491,0.277568825357551
8,"RdNBR",32,"bilinear",-0.48300249146154,3.06139666216436,0.856730063032925,0.813093318784269,0.812814653882059,2.57839417070282,2.85223618406403,8.45027918341493,20.5588594485519
9,"dNBR",32,"bilinear",0.0290857701091764,0.0360506902181204,1.04777050831908,0.76957087100058,0.77430668744853,0.0651364603272968,0.0691187279354261,0.162657567985661,0.409937315061
10,"RdNBR2",32,"bilinear",1.43464576957103,0.624778581713309,1.10016212200867,0.758819452824675,0.775269935804546,2.05942435128433,2.13208370614225,3.90619380975328,8.86079026231235
11,"dNBR2",32,"bilinear",0.0255625663486179,0.00859104472097291,1.14933263085649,0.726641032776915,0.74324444274057,0.0341536110695908,0.0351999880288226,0.0617020550655494,0.139621898289963
12,"RdNDVI",32,"bilinear",-2.53117912510761,3.1757872433,0.623606139993661,0.80110411624799,0.81446266492326,0.644608118192397,0.848957621507618,4.39330273235975,10.3874368150507
13,"dNDVI",32,"bilinear",-0.0527615349829839,0.0695768415275716,0.656150937889925,0.771577085935397,0.783519613081873,0.0168153065445877,0.0215337038296955,0.105242480580193,0.251769007411711
14,"RBR",32,"bilinear",0.0144455364175409,0.0289154514294841,0.984794510515932,0.806661597103762,0.816531827370688,0.0433609878470249,0.046353497897752,0.113470229283993,0.279560551880978
15,"RdNBR",48,"bilinear",-3.44456847090885,5.13177697113186,0.723641754822873,0.630449383265592,0.361954228168293,1.68720850022301,2.07233182969763,9.23515551206158,22.7001169556612
16,"dNBR",48,"bilinear",0.034756235336379,0.032838435358256,1.07641680003791,0.748365017809699,0.769758202500179,0.067594670694635,0.071326713927532,0.160861959919118,0.404768975953297
17,"RdNBR2",48,"bilinear",1.80222619654169,0.49651208462772,1.1737276229154,0.737134147678595,0.77005844948132,2.29873828116941,2.36057316985829,3.95554885659817,8.76612642746478
18,"dNBR2",48,"bilinear",0.032601911211391,0.00629801275787131,1.2475911261119,0.685672832709569,0.733333872672147,0.0388999239692623,0.0397367757194641,0.0625577140306108,0.13690637744593
19,"RdNDVI",48,"bilinear",-2.14395275505357,3.2729660514199,0.60945060166386,0.808708025699968,0.812230086094982,1.12901329636633,1.33468818596765,4.86725428989609,10.7526055394663
20,"dNDVI",48,"bilinear",-0.0439687914683611,0.0729589711564737,0.637304992346517,0.76214215702084,0.77134117786574,0.0289901796881126,0.0337912538871431,0.117858309065239,0.262107220727183
21,"RBR",48,"bilinear",0.0174017412470765,0.0270171715970453,1.00629357764869,0.79141910910544,0.811698361208888,0.0444189128441218,0.0472791312363297,0.112445710711096,0.277389149133553
22,"RdNBR",64,"bilinear",-0.420184195084848,3.03087771781791,0.862061899078798,0.792338858776741,0.800212030218077,2.61069352273306,2.88356665197146,8.48318376173703,20.6633322985754
23,"dNBR",64,"bilinear",0.0350774439100842,0.0326734105148391,1.079899076,0.751101371897205,0.766715406202176,0.0677508544249232,0.0714768158693518,0.161096792831158,0.406126594062378
24,"RdNBR2",64,"bilinear",2.02675555760556,0.451497205448834,1.20367226308904,0.735326345822004,0.7647425823742,2.4782527630544,2.5360042104159,4.05953539275877,8.80065220021713
25,"dNBR2",64,"bilinear",0.0361391126352835,0.00564114014859521,1.28265215824069,0.71389342988394,0.723483835645357,0.0417802527838787,0.0425522680545748,0.0641726455267386,0.137233393479162
26,"RdNDVI",64,"bilinear",-2.14004428224531,3.2870806721876,0.606566124573677,0.796363351923071,0.805368242355996,1.14703638994229,1.35259066179725,4.8760556110765,10.7283418677294
27,"dNDVI",64,"bilinear",-0.0460341660099409,0.07487916274112,0.62707825960044,0.741395167881129,0.761826746500987,0.0288449967311791,0.0336908550238183,0.117942391446057,0.260951708409612
